title,pubDate,link
b'PM Narendra Modi gets warm welcome by Indians in US',"b'Sun, 25 Jun 2017 06:21:31 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/pm-narendra-modi-gets-warm-welcome-by-indians-in-us/articleshow/59307437.cms'
"b'SP, BSP back Meira Kumar, consolidate anti-BJP forces in Uttar Pradesh'","b'Sun, 25 Jun 2017 06:13:12 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/sp-bsp-back-meira-kumar-consolidate-anti-bjp-forces-in-uttar-pradesh/articleshow/59307346.cms'
"b""Yogi Adityanath government has become an 'inquiry committee': SP""","b'Sun, 25 Jun 2017 06:12:18 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/yogi-adityanath-government-has-become-an-inquiry-committee-sp/articleshow/59307326.cms'
b'Jab they meet: What Donald Trump may tell Narendra Modi',"b'Sun, 25 Jun 2017 06:03:48 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/jab-they-meet-what-donald-trump-may-tell-narendra-modi/articleshow/59307260.cms'
"b'Government claims it helped 91% of scavengers, after ignoring 93% of them'","b'Sun, 25 Jun 2017 06:23:43 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/government-claims-it-helped-91-of-scavengers-after-ignoring-93-of-them/articleshow/59307455.cms'
b'Traders bet on calendar spread as Nifty moves in a tight range',"b'Thu, 12 Aug 2010 20:55:54 GMT'",b'http://economictimes.indiatimes.com/traders-bet-on-calendar-spread-as-nifty-moves-in-a-tight-range/articleshow/6302358.cms'
b'Nifty may find support at 5300 level',"b'Wed, 11 Aug 2010 20:52:06 GMT'",b'http://economictimes.indiatimes.com/nifty-may-find-support-at-5300-level/articleshow/6296017.cms'
b'Seven out of top 10 Asian small-cap funds are Indian',"b'Thu, 12 Aug 2010 05:20:58 GMT'",b'http://economictimes.indiatimes.com/seven-out-of-top-10-asian-small-cap-funds-are-indian/articleshow/6295976.cms'
b'Inflation reflects growth dynamics in India: Christopher Wood',"b'Sun, 08 Aug 2010 14:02:56 GMT'",b'http://economictimes.indiatimes.com/inflation-reflects-growth-dynamics-in-india-christopher-wood/articleshow/6274053.cms'
"b'Market may trade in a range, but FIIs seen sold on India'","b'Sun, 08 Aug 2010 19:35:47 GMT'",b'http://economictimes.indiatimes.com/market-may-trade-in-a-range-but-fiis-seen-sold-on-india/articleshow/6277705.cms'
"b""'Don't bank only on price-to-earning ratio'""","b'Sun, 08 Aug 2010 22:25:00 GMT'",b'http://economictimes.indiatimes.com/dont-bank-only-on-price-to-earning-ratio/articleshow/6278228.cms'
b'Prabhudas Lilladher has a reduce rating on Infosys',"b'Fri, 05 Dec 2008 18:30:00 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/recos/prabhudas-lilladher-has-a-reduce-rating-on-infosys/articleshow/3798718.cms'
b'Fin Crisis: Too late and too little done in US',"b'Thu, 04 Dec 2008 20:35:00 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/recos/fin-crisis-too-late-and-too-little-done-in-us/articleshow/3794549.cms'
