title,pubDate,description,link
PM Theresa May defends proposals for EU citizens living in Britain,"Fri, 23 Jun 2017 14:08:49 GMT","""I think that's a very serious offer. There are some differences between that and the proposals of the European Commission but the matter will now go into the negotiations.""",http://economictimes.indiatimes.com/news/international/world-news/pm-theresa-may-defends-proposals-for-eu-citizens-living-in-britain/articleshow/59288582.cms
Whirlpool fridge started London tower block fire that killed 79,"Fri, 23 Jun 2017 13:17:42 GMT","The fire gutted Grenfell Tower, a block of mainly social housing in the U.K. capital’s most affluent district of Kensington, in the west of the city.",http://economictimes.indiatimes.com/news/international/world-news/whirlpool-fridge-started-london-tower-block-fire-that-killed-79/articleshow/59288009.cms
JD(U) decided to back Ram Nath Kovind after considering all aspects: Nitish Kumar,"Fri, 23 Jun 2017 16:55:00 GMT","""Kovind's name was announced first by the ruling party and we do not have any objection to his name. That is why we supported him,"" he told reporters here.",http://economictimes.indiatimes.com/news/politics-and-nation/jdu-decided-to-back-ram-nath-kovind-after-considering-all-aspects-nitish-kumar/articleshow/59290679.cms
"ED registers money-laundering case against LeT chief, Hurriyat, others","Fri, 23 Jun 2017 16:34:00 GMT","Earlier this month, the counter-terror probe agency had carried out raids at over 33 places across Srinagar, Delhi and Haryana.",http://economictimes.indiatimes.com/news/politics-and-nation/ed-registers-money-laundering-case-against-let-chief-hurriyat-others/articleshow/59290374.cms
Modi government launches Liveability Index for 116 cities to measure quality of life,"Fri, 23 Jun 2017 16:15:55 GMT","The cities will be assessed on a comprehensive set of 79 parameters to capture the extent and quality of infrastructure including availability of roads, education and health care.",http://economictimes.indiatimes.com/news/politics-and-nation/modi-government-launches-liveability-index-for-116-cities/articleshow/59290098.cms
Mob lynches DSP outside Jama Masjid mosque in Kashmir,"Fri, 23 Jun 2017 15:32:42 GMT","Describing the incident as ""murder of trust"", the Chief Minister wondered how long the police would show restraint as she warned that there could be a backlash.",http://economictimes.indiatimes.com/news/politics-and-nation/mob-lynches-dsp-outside-jama-masjid-mosque-in-kashmir/articleshow/59289596.cms
"Aim to build forward-looking vision, says PM Modi ahead of US visit","Fri, 23 Jun 2017 15:10:02 GMT","In a statement posted on the Facebook, Modi said his two-day visit to Washington from June 25 was at the invitation of Trump.",http://economictimes.indiatimes.com/news/politics-and-nation/aim-to-build-forward-looking-vision-says-pm-modi-ahead-of-us-visit/articleshow/59289307.cms
License not required for serving liquor in private functions: Kerala High Court,"Fri, 23 Jun 2017 14:34:44 GMT",Court said the limit prescribed under the Abkari Act and Rules for possessing the liquor shall not be exceeded and sale of liquor in houses is not permitted.,http://economictimes.indiatimes.com/news/politics-and-nation/license-not-required-for-serving-liquor-in-private-functions-kerala-high-court/articleshow/59288903.cms
Traders bet on calendar spread as Nifty moves in a tight range,"Thu, 12 Aug 2010 20:55:54 GMT","A trading combination involving Nifty options is gaining prominence among savvy trading desks of institutional investors.

",http://economictimes.indiatimes.com/traders-bet-on-calendar-spread-as-nifty-moves-in-a-tight-range/articleshow/6302358.cms
Nifty may find support at 5300 level,"Wed, 11 Aug 2010 20:52:06 GMT","As far as stock futures are concerned, we are very near to the highest-ever open interest with 195 crore shares in open interest. ",http://economictimes.indiatimes.com/nifty-may-find-support-at-5300-level/articleshow/6296017.cms
Seven out of top 10 Asian small-cap funds are Indian,"Thu, 12 Aug 2010 05:20:58 GMT","An analysis of 300 Asian small-cap schemes shows DSP BlackRock Micro Cap Fund leading the charge, delivering an 82% return over the past year.",http://economictimes.indiatimes.com/seven-out-of-top-10-asian-small-cap-funds-are-indian/articleshow/6295976.cms
Inflation reflects growth dynamics in India: Christopher Wood,"Sun, 08 Aug 2010 14:02:56 GMT","India has inflation and it reflects the fundamental growth, Christopher Wood, equity strategist, CLSA, said at ET Now Mkt Summit-2010.

",http://economictimes.indiatimes.com/inflation-reflects-growth-dynamics-in-india-christopher-wood/articleshow/6274053.cms
"Market may trade in a range, but FIIs seen sold on India","Sun, 08 Aug 2010 19:35:47 GMT",Market may see range-bound trading this week in the absence of any major trigger.,http://economictimes.indiatimes.com/market-may-trade-in-a-range-but-fiis-seen-sold-on-india/articleshow/6277705.cms
'Don't bank only on price-to-earning ratio',"Sun, 08 Aug 2010 22:25:00 GMT","Many experts believe that looking at PE ratio in isolation won’t help investors grasp realities of the mkt and higher valuation may not be the only deciding factor driving mkt. 
",http://economictimes.indiatimes.com/dont-bank-only-on-price-to-earning-ratio/articleshow/6278228.cms
